Plnt,ABC,CC Ind,MRP,Material,UM,SLoc,Bin,Unres Qty On Hand,  Last Count,Std Cst,Material description,MS,MS2
US53,C,X,TY1,351248-0010,EA,1000,B1-C,0.000,04/24/2017,16.63,"HARNESS,24V,060L400",RG,DP
US53,C,X,TY1,351264-0020,EA,1000,A5-E,0.000,,4.15,"CONN,PLUG,TERM BLOCK,5.08mm,FRT,FL,2-POS",RG,
US53,B,D,TY1,351305-0010,EA,1000,F6-C,8.000,06/14/2023,62.54,"PLATE,SPLASH,INLINE,1.25 SHAFT,3300",RG,
US53,C,X,TY1,351311-0010,EA,1000,,0.000,,"23,387.90","CHAMBER ASSY,H/C,HI TEMP,U-PORT,3520/50",CP,
US53,C,X,TY6,351324-0010,EA,1000,,0.000,,371.00,"KIT,PRESS SENSOR,50PSIG,CE,D-SUB",RG,
US53,C,X,TY1,351328-0010,EA,1000,F2-A,0.000,,"1,792.00","CONTROL ASSY,HYDRAULIC CONTROL UPGRD,24V",RG,
US53,C,X,TY6,351338-0010,EA,1000,,0.000,,"2,597.29","KIT,UPGD,SH AXIAL,PCI RELAY,CABLES",RG,
US53,C,X,TY1,351371-0010,EA,1000,,0.000,,"1,121.89","SENSOR,EXTENSOMETER,EPSILON MODEL 3442",RG,
US53,C,X,TY1,351371-0190,EA,1000,C5-C,0.000,,"1,966.00","SENSOR,MINI-EXTENSOMETER,6MM GA,+/-10%,-",RG,
US53,C,X,TY1,351371-0310,EA,1000,,0.000,,"1,966.00","SENSOR,EXTENSOMETER,3442,10mm GA,+/-10%",RG,
US53,C,X,TY1,351371-0320,EA,1000,K43-C,1.000,,"2,490.50","SENSOR,MINI-EXTENSOM,10MM GA,+20/-10%",RG,
US53,C,X,TY1,351372-0010,EA,1000,,0.000,,"1,121.89","SENSOR,DEFLECTION GAG,EPSILON MOD 3540",RG,
US53,B,X,TY1,351372-0020,EA,1000,,0.000,,"2,475.00","SENSOR,DEFLECTION GAGE,3540,1mm RANGE",RG,
